iter	Passed	Remaining
1186	13987	15472
1187	13998	15459
1188	14009	15447
1189	14020	15434
1190	14030	15420
1191	14040	15406
1192	14049	15392
1193	14060	15379
1194	14070	15365
1195	14080	15351
1196	14090	15338
1197	14100	15324
1198	14110	15311
1199	14120	15297
1200	14130	15283
1201	14140	15269
1202	14150	15256
1203	14161	15244
1204	14174	15232
1205	14184	15219
1206	14194	15205
1207	14205	15192
1208	14215	15179
1209	14225	15166
1210	14235	15152
1211	14245	15139
1212	14257	15127
1213	14268	15114
1214	14282	15105
1215	14294	15093
1216	14304	15080
1217	14315	15067
1218	14325	15054
1219	14338	15043
1220	14350	15032
1221	14360	15018
1222	14373	15007
1223	14384	14995
1224	14394	14981
1225	14405	14969
1226	14416	14957
1227	14426	14943
1228	14437	14930
1229	14447	14917
1230	14456	14903
1231	14466	14889
1232	14478	14877
1233	14489	14864
1234	14500	14852
1235	14510	14839
1236	14520	14825
1237	14530	14812
1238	14542	14800
1239	14551	14786
1240	14561	14772
1241	14571	14758
1242	14580	14744
1243	14589	14730
1244	14599	14717
1245	14609	14703
1246	14619	14690
1247	14628	14675
1248	14642	14665
1249	14652	14652
1250	14663	14640
1251	14672	14625
1252	14682	14612
1253	14691	14597
1254	14701	14584
1255	14711	14570
1256	14720	14556
1257	14730	14542
1258	14740	14529
1259	14755	14521
1260	14770	14512
1261	14782	14501
1262	14794	14489
1263	14805	14477
1264	14816	14465
1265	14827	14452
1266	14837	14439
1267	14847	14425
1268	14857	14412
1269	14868	14400
1270	14878	14386
1271	14888	14373
1272	14899	14360
1273	14910	14348
1274	14920	14335
1275	14930	14322
1276	14940	14309
1277	14951	14296
1278	14961	14282
1279	14971	14269
1280	14980	14255
1281	14992	14243
1282	15003	14231
1283	15013	14218
1284	15025	14206
1285	15038	14196
1286	15048	14183
1287	15058	14170
1288	15068	14156
1289	15078	14143
1290	15089	14130
1291	15099	14117
1292	15109	14104
1293	15120	14092
1294	15130	14079
1295	15141	14066
1296	15151	14053
1297	15161	14040
1298	15173	14028
1299	15182	14015
1300	15193	14002
1301	15204	13990
1302	15214	13976
1303	15224	13963
1304	15234	13950
1305	15243	13936
1306	15254	13923
1307	15264	13910
1308	15273	13896
1309	15283	13883
1310	15294	13871
1311	15305	13858
1312	15315	13845
1313	15326	13833
1314	15337	13821
1315	15348	13808
1316	15357	13795
1317	15368	13782
1318	15378	13769
1319	15390	13758
1320	15400	13745
1321	15411	13732
1322	15422	13720
1323	15432	13707
1324	15442	13694
1325	15452	13681
1326	15464	13669
1327	15475	13657
1328	15485	13644
1329	15496	13632
1330	15506	13619
1331	15517	13606
1332	15528	13594
1333	15538	13581
1334	15548	13568
1335	15560	13557
1336	15570	13544
1337	15582	13532
1338	15594	13521
1339	15618	13520
1340	15635	13513
1341	15649	13504
1342	15667	13497
1343	15681	13487
1344	15694	13477
1345	15708	13468
1346	15723	13459
1347	15738	13450
1348	15749	13437
1349	15760	13425
1350	15770	13412
1351	15781	13400
1352	15791	13386
1353	15801	13373
1354	15811	13361
1355	15821	13347
1356	15831	13335
1357	15842	13322
1358	15853	13310
1359	15863	13297
1360	15875	13285
1361	15885	13273
1362	15895	13260
1363	15907	13248
1364	15918	13236
1365	15928	13222
1366	15938	13210
1367	15948	13197
1368	15958	13184
1369	15972	13174
1370	15983	13162
1371	15994	13149
1372	16004	13137
1373	16015	13124
1374	16026	13112
1375	16038	13100
1376	16050	13089
1377	16060	13076
1378	16071	13064
1379	16082	13052
1380	16092	13039
1381	16102	13026
1382	16112	13013
1383	16124	13002
1384	16135	12989
1385	16146	12978
1386	16160	12967
1387	16171	12955
1388	16181	12943
1389	16194	12932
1390	16206	12920
1391	16216	12908
1392	16227	12895
1393	16239	12884
1394	16249	12871
1395	16260	12859
1396	16271	12846
1397	16283	12835
1398	16295	12824
1399	16308	12814
1400	16319	12801
1401	16330	12789
1402	16343	12778
1403	16353	12765
1404	16364	12753
1405	16376	12742
1406	16386	12729
1407	16399	12719
1408	16412	12708
1409	16425	12697
1410	16438	12686
1411	16450	12676
1412	16462	12664
1413	16474	12652
1414	16484	12640
1415	16496	12628
1416	16508	12617
1417	16521	12606
1418	16532	12594
1419	16545	12584
1420	16560	12574
1421	16571	12562
1422	16582	12550
1423	16593	12538
1424	16604	12526
1425	16615	12513
1426	16626	12501
1427	16636	12489
1428	16648	12477
1429	16659	12465
1430	16671	12454
1431	16681	12441
1432	16693	12429
1433	16703	12417
1434	16713	12403
1435	16723	12391
1436	16734	12378
1437	16743	12365
1438	16753	12352
1439	16764	12340
1440	16774	12327
1441	16784	12314
1442	16794	12301
1443	16804	12289
1444	16814	12276
1445	16826	12264
1446	16835	12251
1447	16846	12238
1448	16856	12226
1449	16867	12214
1450	16876	12201
1451	16887	12188
1452	16898	12176
1453	16908	12163
1454	16918	12151
1455	16929	12138
1456	16940	12126
1457	16950	12114
1458	16960	12101
1459	16971	12089
1460	16981	12076
1461	16992	12064
1462	17002	12051
1463	17012	12038
1464	17023	12026
1465	17033	12013
1466	17043	12001
1467	17053	11988
1468	17064	11976
1469	17076	11965
1470	17087	11952
1471	17097	11940
1472	17108	11927
1473	17118	11915
1474	17129	11903
1475	17140	11891
1476	17150	11878
1477	17161	11866
1478	17172	11854
1479	17183	11842
1480	17193	11829
1481	17203	11817
1482	17214	11805
1483	17224	11792
1484	17234	11779
1485	17245	11767
1486	17255	11754
1487	17265	11742
1488	17277	11731
1489	17288	11718
1490	17298	11706
1491	17309	11694
1492	17320	11682
1493	17330	11669
1494	17341	11657
1495	17351	11644
1496	17361	11632
1497	17371	11619
1498	17381	11607
1499	17394	11596
1500	17406	11584
1501	17435	11584
1502	17450	11575
1503	17463	11565
1504	17479	11556
1505	17493	11546
1506	17507	11536
1507	17518	11524
1508	17530	11512
1509	17545	11503
1510	17556	11491
1511	17568	11479
1512	17578	11467
1513	17589	11455
1514	17599	11442
1515	17608	11429
1516	17620	11417
1517	17630	11405
1518	17642	11393
1519	17655	11382
1520	17665	11370
1521	17676	11358
1522	17686	11345
1523	17697	11333
1524	17707	11321
1525	17720	11310
1526	17731	11298
1527	17741	11285
1528	17751	11273
1529	17761	11260
1530	17772	11248
1531	17782	11235
1532	17793	11223
1533	17803	11211
1534	17815	11200
1535	17825	11187
1536	17835	11174
1537	17845	11162
1538	17855	11149
1539	17865	11136
1540	17875	11124
1541	17885	11111
1542	17895	11099
1543	17905	11086
1544	17916	11074
1545	17927	11062
1546	17937	11050
1547	17947	11037
1548	17958	11025
1549	17968	11013
1550	17978	11000
1551	17989	10988
1552	18001	10976
1553	18010	10964
1554	18021	10951
1555	18031	10939
1556	18041	10927
1557	18051	10914
1558	18060	10901
1559	18071	10888
1560	18080	10875
1561	18090	10863
1562	18100	10851
1563	18110	10838
1564	18122	10826
1565	18132	10814
1566	18143	10802
1567	18153	10790
1568	18163	10777
1569	18173	10765
1570	18184	10753
1571	18196	10741
1572	18208	10730
1573	18218	10718
1574	18228	10705
1575	18239	10693
1576	18250	10681
1577	18261	10669
1578	18271	10657
1579	18280	10644
1580	18292	10632
1581	18302	10620
1582	18312	10608
1583	18323	10596
1584	18334	10584
1585	18344	10571
1586	18355	10559
1587	18366	10547
1588	18376	10535
1589	18386	10523
1590	18397	10511
1591	18407	10498
1592	18418	10486
1593	18428	10474
1594	18440	10463
1595	18450	10450
1596	18460	10437
1597	18469	10425
1598	18479	10412
1599	18489	10400
1600	18499	10388
1601	18509	10375
1602	18518	10362
1603	18530	10351
1604	18542	10339
1605	18553	10327
1606	18563	10315
1607	18574	10303
1608	18585	10292
1609	18596	10279
1610	18606	10267
1611	18616	10255
1612	18626	10242
1613	18636	10230
1614	18646	10218
1615	18655	10205
1616	18667	10193
1617	18678	10182
1618	18688	10169
1619	18700	10158
1620	18711	10146
1621	18722	10134
1622	18733	10122
1623	18744	10110
1624	18755	10099
1625	18766	10087
1626	18776	10075
1627	18789	10064
1628	18801	10052
1629	18812	10040
1630	18823	10029
1631	18834	10017
1632	18845	10005
1633	18856	9993
1634	18867	9981
1635	18877	9969
1636	18888	9957
1637	18899	9945
1638	18910	9933
1639	18921	9922
1640	18932	9910
1641	18943	9898
1642	18954	9887
1643	18965	9875
1644	18976	9863
1645	18989	9852
1646	19000	9840
1647	19014	9830
1648	19025	9818
1649	19036	9806
1650	19047	9794
1651	19058	9783
1652	19069	9771
1653	19080	9759
1654	19091	9747
1655	19102	9735
1656	19113	9723
1657	19124	9711
1658	19134	9700
1659	19145	9688
1660	19157	9676
1661	19168	9664
1662	19179	9653
1663	19192	9642
1664	19203	9630
1665	19214	9618
1666	19226	9607
1667	19238	9596
